strategy_id,name,displayed_sharpe,inception_date,included,reason,sources,source_count,raw_text
1873038,Canada Core Combo - Eddy/Kurtis,1.17,2006-01-01,True,included,candidate_strategy_discovery_20260522,1,Canada Core Combo - Eddy/Kurtis Toronto Stock Exchange Stock Core Combo Canada -… 01/01/06 01/06/26 20 21.7% 13.3% 1.17 -42.4%
1873043,Future Free Cash Flow Yield S&P 500,0.72,2006-01-01,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,"Future Free Cash Flow Yield S&P 500 S&P500 LargeCap (IVV) Stock ConsEstMean(#FCFY ,… 01/01/06 01/19/26 10 17.0% 6.0% 0.72 -53.3%"
1873055,Buffett 2000,,2006-01-01,False,missing_sharpe,candidate_strategy_discovery_20260522,1,Buffett 2000 Prussell 2000 Stock Buffett's Core C… 01/01/06 01/05/26 20 13.5% 2.6% N/A N/A
1873057,Easy to Trade US Growth...ctuals + IndusEPS Group,0.76,2006-01-01,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,Easy to Trade US Growth...ctuals + IndusEPS Group Easy to Trade US Stock Core: Sentiment + Mk… 01/01/06 01/12/26 20 17.1% 6.1% 0.76 -66.4%
1911139,Some of my Favorite Sell Rules - Copy,0.9,2006-01-01,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,Some of my Favorite Sell Rules - Copy Easy to Trade US - 1-on-1 100K Stock Small and Micro Cap… 01/01/06 04/05/26 12 23.4% 12.9% 0.90 -65.2%
1929845,ETF Simulation,0.6,1999-01-02,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,ETF Simulation SPY-TLT-GLD Momentum ETF ETF Rotation - Basic 01/02/99 04/05/26 1 10.8% 2.6% 0.60 -33.9%
1933777,"Higher Beta + Earnings ...niverse, Free! C - Copy",0.92,2006-01-01,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,"Higher Beta + Earnings ...niverse, Free! C - Copy S&P500 LargeCap (IVV) Stock Core Combination 01/01/06 04/19/26 9 23.3% 14.4% 0.92 -54.3%"
1933989,Advisor 500 Adjusted Free Cash Flow Yield - Copy,0.61,2006-01-01,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,Advisor 500 Adjusted Free Cash Flow Yield - Copy S&P500 LargeCap (IVV) Stock (OperCashFlttm- DepA… 01/01/06 04/20/26 30 13.1% 2.2% 0.61 -63.3%
1934012,Russel 3000 Profitable Growth Stocks Free! - Copy,0.81,2006-01-01,False,sharpe_not_gt_1,candidate_strategy_discovery_20260522,1,Russel 3000 Profitable Growth Stocks Free! - Copy Prussell 3000 Stock Core: Sentiment + Mk… 01/01/06 04/20/26 20 16.1% 5.1% 0.81 -56.6%
1934014,SAMCF + Quality Filter Group - Copy,1.29,2006-01-01,True,included,candidate_strategy_discovery_20260522,1,SAMCF + Quality Filter Group - Copy No OTC Exchange Stock Small and Micro Cap… 01/01/06 04/20/26 46 31.3% 20.3% 1.29 -50.9%
